Year,Player,fbref_ID
2018,Zack Steffen,42130443
2021,Cristian Roldan,48875649
2022,Kamal Miller,0646bd8a
2021,Damir Kreilach,068be155
2021,Nouhou,0796512f
2018,Darwin Quintero,0cc00553
2019,Romain Métanire,0fb21da9
2018,Alberth Elis,104b4ad3
2022,Carles Gil,11c30a46
2021,Alex Roldan,1255a82a
2019,Nani,15e9c7e6
2021,Nani,15e9c7e6
2022,Javier Hernández,189cee7b
2022,Paul Arriola,1bb2acce
2019,Walker Zimmerman,220fa883
2021,Walker Zimmerman,220fa883
2022,Walker Zimmerman,220fa883
2018,Tyler Adams,2b09d998
2018,Sebastian Giovinco,2b7c18ae
2022,Taxi Fountas,2ce71308
2018,Diego Valeri,31da63ad
2018,Michael Murillo,349cae8f
2022,Luciano Acosta,363ba6d7
2019,Mark-Anthony Kaye,36a38acd
2019,Chris Wondolowski,37f46eda
2021,Lucas Zelarayán,3ce30893
2021,Gustavo Bou,3dfcc735
2022,Dayne St. Clair,3f41d25f
2018,Aaron Long,46b89640
2022,Aaron Long,46b89640
2021,Matt Turner,4a51ba65
2019,Zlatan Ibrahimovic,4cde5509
2018,Zlatan Ibrahimovic,4cde5509
2018,Laurent Ciman,5113d9a7
2019,Leandro González Pírez,5ba1112c
2019,Alejandro Pozuelo,5e1280ff
2018,Matt Hedges,5e2a4d0e
2019,Matt Hedges,5e2a4d0e
2018,Michael Parkhurst,602e2c34
2021,Eduard Atuesta,60990b81
2022,Sebastián Driussi,60e86875
2022,Emanuel Reynoso,614b26e3
2022,Darlington Nagbe,6219c704
2019,Diego Chará,6260cc9d
2018,Alexander Ring,6c1221d6
2022,Diego Palacios,6ec37f2e
2021,Dániel Sallói,6fcddf5f
2018,Francisco Calvo,706bd23f
2018,Ilie,72979f65
2022,Ilie Sánchez,72979f65
2021,Sebastian Lletget,73019c31
2021,Miles Robinson,782a95d9
2018,Wilfried Zahibo,784ec3de
2021,Raúl Ruidíaz,7a4296e1
2022,Raúl Ruidíaz,7a4296e1
2018,Ezequiel Barco,7fa737c4
2019,Ezequiel Barco,7fa737c4
2019,Kemar Lawrence,80be3efe
2018,Miguel Almirón,862a1c15
2022,Hany Mukhtar,87fe8526
2022,Julián Araujo,8f4541c2
2021,Julian Araujo,8f4541c2
2018,Jonathan dos Santos,91872dec
2019,Jonathan dos Santos,91872dec
2018,Graham Zusi,9ba42447
2019,Graham Zusi,9ba42447
2018,Bradley Wright-Phillips,9bb42ab8
2021,Ricardo Pepi,a2b1ed42
2019,Diego Rossi,a81dba8c
2021,Diego Rossi,a81dba8c
2022,Jakob Glesnes,ac65aef3
2021,George Bello,aca0a525
2018,David Villaa,ade08a67
2022,DeAndre Yedlin,ae0a7ddf
2019,Andre Blake,b3b21a11
2021,Andre Blake,b3b21a11
2022,Andre Blake,b3b21a11
2018,Yoshimar Yotún,b6af8c85
2021,Pedro Gallese,b76e1394
2022,Jordan Morris,bd298d0d
2022,Sean Johnson,c164335e
2019,Paxton Pomykal,c1f0fb45
2022,Brandon Vazquez,c570cf22
2019,Bastian Schweinsteiger,ccc22fea
2019,Nick Rimando,cf975d73
2018,Alphonso Davies,d781d855
2018,Brad Guzan,d899e3bf
2019,Brad Guzan,d899e3bf
2021,James Sands,dccd127f
2018,Carlos Vela,e0cd04e0
2019,Carlos Vela,e0cd04e0
2022,Carlos Vela,e0cd04e0
2021,Yeimar Gómez Andrade,e43c8d72
2018,Josef Martínez,e73f0aa1
2019,Josef Martínez,e73f0aa1
2018,Ignacio Piatti,ece7bafd
2019,Wayne Rooney,f07be45a
2022,Jesús Ferreira,f61246d8
2021,Cade Cowell,f8e95f87
2019,Maximiliano Moralez,f99f37fc
2021,Kai Wagner,fdc715d9
2022,Kai Wagner,fdc715d9
2019,Nicolás Lodeiro,fe81d0d1
2019,Gonzalo Martínez,cd00ceea
2021,Jesús David Murillo,68d48a71
2021,João Paulo,b96aa1d6
2021,Rodolfo Pizarro,4b49ed54
