Year,Player,fbref_ID,prev_as
2018,Aaron Long,46b89640,0
2022,Aaron Long,46b89640,1
2019,Andre Blake,b3b21a11,0
2021,Andre Blake,b3b21a11,1
2022,Andre Blake,b3b21a11,2
2018,Brad Guzan,d899e3bf,0
2019,Brad Guzan,d899e3bf,1
2018,Carlos Vela,e0cd04e0,0
2019,Carlos Vela,e0cd04e0,1
2022,Carlos Vela,e0cd04e0,2
2019,Diego Rossi,a81dba8c,0
2021,Diego Rossi,a81dba8c,1
2018,Ezequiel Barco,7fa737c4,0
2019,Ezequiel Barco,7fa737c4,1
2018,Graham Zusi,9ba42447,0
2019,Graham Zusi,9ba42447,1
2018,Jonathan dos Santos,91872dec,0
2019,Jonathan dos Santos,91872dec,1
2018,Josef Martínez,e73f0aa1,0
2019,Josef Martínez,e73f0aa1,1
2021,Kai Wagner,fdc715d9,0
2022,Kai Wagner,fdc715d9,1
2018,Matt Hedges,5e2a4d0e,0
2019,Matt Hedges,5e2a4d0e,1
2019,Nani,15e9c7e6,0
2021,Nani,15e9c7e6,1
2021,Raúl Ruidíaz,7a4296e1,0
2022,Raúl Ruidíaz,7a4296e1,1
2019,Walker Zimmerman,220fa883,0
2021,Walker Zimmerman,220fa883,1
2022,Walker Zimmerman,220fa883,2
2018,Zlatan Ibrahimovic,4cde5509,0
2019,Zlatan Ibrahimovic,4cde5509,1
