,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
vs Atlanta Utd,24,26.9,44.5,34,374,3060,34,41,30,38,3,5,60,4,1.21,0.88,2.09,1.12,2,42.6,38.8,28.2,67.1,1.25,0.83,2.08,1.14,1.97
vs Chicago Fire,26,27.2,51.2,34,374,3060,34,47,33,43,4,5,51,2,1.38,0.97,2.35,1.26,2.24,44.6,41.6,31.9,73.4,1.31,0.94,2.25,1.22,2.16
vs Colorado Rapids,24,27.3,58,34,374,3060,34,56,35,49,7,9,62,2,1.65,1.03,2.68,1.44,2.47,56.8,49.9,41,91,1.67,1.21,2.88,1.47,2.68
vs Columbus Crew,33,27.2,51,34,374,3060,34,47,33,43,4,5,65,3,1.38,0.97,2.35,1.26,2.24,41.8,38.2,26.1,64.2,1.23,0.77,2,1.12,1.89
vs D.C. United,26,27.1,52.4,34,374,3060,34,37,30,35,2,6,70,7,1.09,0.88,1.97,1.03,1.91,48.1,43.6,31.5,75.1,1.42,0.93,2.34,1.28,2.21
vs FC Cincinnati,30,27.1,53.5,34,374,3060,34,74,54,71,3,7,70,3,2.18,1.59,3.76,2.09,3.68,59.2,53.6,37.8,91.4,1.74,1.11,2.85,1.58,2.69
vs FC Dallas,27,27.2,46.8,34,375,3060,34,46,34,41,5,8,62,5,1.35,1,2.35,1.21,2.21,43.8,37.7,26,63.7,1.29,0.76,2.05,1.11,1.87
vs Houston Dynamo,26,27.2,52.9,34,374,3060,34,59,38,52,7,7,56,5,1.74,1.12,2.85,1.53,2.65,50.8,45.6,33.9,79.5,1.49,1,2.49,1.34,2.34
vs LA Galaxy,26,27.1,49.8,34,374,3060,34,56,35,50,6,8,48,2,1.65,1.03,2.68,1.47,2.5,62.5,56.5,40.9,97.4,1.84,1.2,3.04,1.66,2.87
vs Los Angeles FC,28,27.5,43.1,34,374,3060,34,33,24,31,2,3,92,9,0.97,0.71,1.68,0.91,1.62,36.5,34.2,24.7,58.9,1.07,0.73,1.8,1.01,1.73
vs Minnesota Utd,26,27,55.2,34,374,3060,34,43,30,40,3,4,50,0,1.26,0.88,2.15,1.18,2.06,44.5,41.5,31,72.5,1.31,0.91,2.22,1.22,2.13
vs Montreal Impact,29,27,50.9,34,374,3060,34,59,41,53,6,7,55,2,1.74,1.21,2.94,1.56,2.76,50,44.9,33.2,78.1,1.47,0.98,2.45,1.32,2.3
vs New England,23,27.1,54.9,34,374,3060,34,57,44,53,4,4,66,1,1.68,1.29,2.97,1.56,2.85,54.9,51.9,39.6,91.5,1.61,1.17,2.78,1.53,2.69
vs NY Red Bulls,28,27.4,53.3,34,374,3060,34,49,32,43,6,7,53,4,1.44,0.94,2.38,1.26,2.21,49.7,44.3,36.1,80.4,1.46,1.06,2.52,1.3,2.37
vs NYCFC,25,27.2,42.9,34,374,3060,34,39,26,31,8,10,90,5,1.15,0.76,1.91,0.91,1.68,44.6,37.1,32.1,69.2,1.31,0.94,2.26,1.09,2.04
vs Orlando City,27,27.3,52.1,34,374,3060,34,50,37,49,1,1,55,2,1.47,1.09,2.56,1.44,2.53,42.4,41.8,33,74.8,1.25,0.97,2.22,1.23,2.2
vs Philadelphia,28,27.2,47.1,34,374,3060,34,49,32,44,5,6,54,4,1.44,0.94,2.38,1.29,2.24,41.8,37.3,27.3,64.6,1.23,0.8,2.03,1.1,1.9
vs Portland Timbers,27,27.1,49.8,34,374,3060,34,48,25,42,6,7,61,6,1.41,0.74,2.15,1.24,1.97,56.3,51,36.4,87.5,1.66,1.07,2.73,1.5,2.57
vs Real Salt Lake,25,27.2,50.4,34,374,3060,34,40,25,37,3,5,62,6,1.18,0.74,1.91,1.09,1.82,40.4,36.7,27.3,64,1.19,0.8,1.99,1.08,1.88
vs San Jose,25,27.1,42.4,34,374,3060,34,53,38,49,4,7,76,1,1.56,1.12,2.68,1.44,2.56,47.2,42,32.9,74.9,1.39,0.97,2.36,1.24,2.2
vs Seattle,29,27.2,49.5,34,374,3060,34,47,37,42,5,5,56,2,1.38,1.09,2.47,1.24,2.32,46.5,42.7,31.2,73.9,1.37,0.92,2.28,1.25,2.17
vs Sporting KC,29,27.1,47.4,34,374,3060,34,67,51,65,2,5,85,8,1.97,1.5,3.47,1.91,3.41,51.3,47.2,36.5,83.7,1.51,1.07,2.58,1.39,2.46
vs Toronto FC,29,27.1,46,34,374,3060,34,50,31,40,10,13,59,2,1.47,0.91,2.38,1.18,2.09,49.4,39.6,29.1,68.7,1.45,0.86,2.31,1.16,2.02
vs Vancouver,26,27.2,54.9,34,374,3060,34,55,40,47,8,8,52,2,1.62,1.18,2.79,1.38,2.56,60.4,54.5,40.2,94.7,1.78,1.18,2.96,1.6,2.78
